# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416262912;9532160;254992264;96.40;452420;51247196;207876380;76.17
axle;60;1416262972;7431712;257092712;97.19;452484;53660064;207508064;76.04
axle;60;1416263032;2779188;261745236;98.95;452556;57155440;208683224;76.47
axle;60;1416263092;2926604;261597820;98.89;452592;57363696;208308776;76.33
axle;60;1416263152;3527316;260997108;98.67;452616;57365356;207727344;76.12
axle;60;1416263212;3546240;260978184;98.66;452668;57366664;207708040;76.11
axle;60;1416263272;1703804;262820620;99.36;452724;57694084;209213032;76.66
axle;60;1416263332;2201432;262322992;99.17;452780;58907404;207504356;76.03
axle;60;1416263392;1060328;263464096;99.60;452248;59575600;208008524;76.22
axle;60;1416263452;991216;263533208;99.63;452180;60030968;207595248;76.07
axle;60;1416263512;2162084;262362340;99.18;449448;58955360;207504476;76.03
