# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416263731;sda;7.67;7.77;576.68;76.16;0.08;10.47;0.26;0.20
axle;60;1416263791;sda;3.85;0.00;560.95;145.53;0.01;3.01;0.23;0.09
axle;60;1416263851;sda;4.27;0.00;628.47;147.24;0.02;3.75;0.19;0.08
axle;60;1416263911;sda;4.86;7.63;581.15;121.27;0.01;2.52;0.19;0.09
axle;60;1416263971;sda;3.77;0.00;549.82;145.81;0.01;2.60;0.21;0.08
axle;60;1416264031;sda;4.68;0.00;675.94;144.52;0.02;3.56;0.19;0.09
axle;60;1416264091;sda;5.27;0.00;745.56;141.56;0.02;3.58;0.20;0.11
axle;60;1416264151;sda;3.78;0.00;516.08;136.60;0.01;3.59;0.23;0.09
axle;60;1416264211;sda;4.58;0.00;556.13;121.55;0.01;2.56;0.16;0.07
axle;60;1416264271;sda;4.23;0.00;623.53;147.26;0.02;3.68;0.24;0.10
axle;60;1416264331;sda;5.22;22.10;636.06;126.00;0.02;4.47;0.21;0.11
